Z(m),F_avg(N),F_std(N)
-4.947323163648428e-05,-4.566104049996058e-10,1.19114749560331e-10
-4.937320740194725e-05,-4.5524198059781403e-10,1.185646122799372e-10
-4.927318316741023e-05,-4.552582945352975e-10,1.1850409866662533e-10
-4.91731589328732e-05,-4.5532167418365587e-10,1.1812764843498657e-10
-4.9073134698336174e-05,-4.5491129719555966e-10,1.1763770692195054e-10
-4.8973110463799146e-05,-4.543866235327821e-10,1.177818542387896e-10
-4.8873086229262125e-05,-4.554012626160203e-10,1.1771747037876717e-10
-4.87730619947251e-05,-4.5265487358986487e-10,1.165310744546363e-10
-4.867303776018807e-05,-4.546412464901124e-10,1.1622927628926515e-10
-4.857301352565104e-05,-4.533745113956356e-10,1.1526320454778829e-10
-4.847298929111402e-05,-4.5241948595123626e-10,1.1477439792487667e-10
-4.837296505657699e-05,-4.5228892893423893e-10,1.1423652518163201e-10
-4.8272940822039966e-05,-4.5208800617553247e-10,1.1298083270228712e-10
-4.8172916587502945e-05,-4.51811579951996e-10,1.1403316066786165e-10
-4.807289235296592e-05,-4.514797682333326e-10,1.1312966643276782e-10
-4.797286811842889e-05,-4.510348976521745e-10,1.129057271640054e-10
-4.787284388389186e-05,-4.5041844070755774e-10,1.1249448167325812e-10
-4.777281964935484e-05,-4.4991989771959287e-10,1.1119226218046597e-10
-4.767279541481781e-05,-4.4918086674681605e-10,1.1115666782721675e-10
-4.7572771180280785e-05,-4.489894509914273e-10,1.1088087827001176e-10
-4.7472746945743764e-05,-4.484101126064458e-10,1.0991397960254115e-10
-4.7372722711206737e-05,-4.4823328985382487e-10,1.0959128602070336e-10
-4.727269847666971e-05,-4.4844309844091267e-10,1.0969574447053295e-10
-4.717267424213268e-05,-4.481103501751399e-10,1.0805741454703557e-10
-4.707265000759566e-05,-4.477141679727202e-10,1.0917641499188175e-10
-4.697262577305863e-05,-4.470397128880179e-10,1.0809534422620607e-10
-4.6872601538521605e-05,-4.4688093436844025e-10,1.0826821495337533e-10
-4.677257730398458e-05,-4.461037638803519e-10,1.069742808444816e-10
-4.6672553069447556e-05,-4.455893426193584e-10,1.0788759847216508e-10
-4.657252883491053e-05,-4.4599841719836036e-10,1.0635985532532492e-10
-4.64725046003735e-05,-4.465776753879827e-10,1.0619054034726894e-10
-4.637248036583648e-05,-4.4626187111617314e-10,1.0589411906739904e-10
-4.627245613129945e-05,-4.457496768957082e-10,1.0625989268624058e-10
-4.6172431896762424e-05,-4.4534711485363803e-10,1.062474438365483e-10
-4.60724076622254e-05,-4.43882427955716e-10,1.0568159215531917e-10
-4.5972383427688376e-05,-4.4309506342431377e-10,1.0505542571510165e-10
-4.587235919315135e-05,-4.442779357418896e-10,1.0488696426143472e-10
-4.577233495861432e-05,-4.4320277976005316e-10,1.0473112584670193e-10
-4.567231072407729e-05,-4.434905152061755e-10,1.0439545783561649e-10
-4.557228648954027e-05,-4.4337366681008814e-10,1.0378271737587316e-10
-4.5472262255003244e-05,-4.4215989507872304e-10,1.0469060924108294e-10
-4.5372238020466216e-05,-4.415870562663071e-10,1.0290103267049138e-10
-4.5272213785929195e-05,-4.4183043502711585e-10,1.0290605151492373e-10
-4.517218955139217e-05,-4.4095604955248105e-10,1.0367667587631335e-10
-4.507216531685514e-05,-4.4134216890547745e-10,1.0192135292359739e-10
-4.497214108231811e-05,-4.39452242315156e-10,1.0256028495699521e-10
-4.487211684778109e-05,-4.390129808420692e-10,1.021867667880206e-10
-4.4772092613244064e-05,-4.393050128791332e-10,1.0180720982823251e-10
-4.4672068378707036e-05,-4.3785705196310496e-10,1.0164212191607298e-10
-4.4572044144170015e-05,-4.3797464302923904e-10,1.0072794353034581e-10
-4.447201990963299e-05,-4.3774057382365555e-10,1.0110506350339118e-10
-4.437199567509596e-05,-4.358936330938292e-10,1.0176892791083775e-10
-4.427197144055893e-05,-4.380079780028472e-10,1.0056683075581876e-10
-4.417194720602191e-05,-4.3563651959047504e-10,1.0251370596796813e-10
-4.4071922971484883e-05,-4.3690632457310316e-10,1.0376836181202271e-10
-4.3971898736947856e-05,-4.366557566918369e-10,1.0192024237906551e-10
-4.387187450241083e-05,-4.3566222727399846e-10,1.0211929611178853e-10
-4.377185026787381e-05,-4.3539459964896885e-10,1.0264010077998193e-10
-4.367182603333678e-05,-4.3494548515340047e-10,1.0287260816530953e-10
-4.357180179879975e-05,-4.3314144554777647e-10,1.0255769029165675e-10
-4.3471777564262724e-05,-4.334870347366175e-10,1.0282639161610851e-10
-4.33717533297257e-05,-4.3390689654898945e-10,1.0117473171104564e-10
-4.3271729095188675e-05,-4.3284373779976537e-10,1.012656950952384e-10
-4.317170486065165e-05,-4.3376493331739564e-10,1.0092436278394177e-10
-4.307168062611463e-05,-4.311923329661142e-10,1.0097945886923488e-10
-4.29716563915776e-05,-4.3127070084630815e-10,1.0071944919142675e-10
-4.287163215704057e-05,-4.3081723335960035e-10,1.0096307412280282e-10
-4.2771607922503544e-05,-4.3071976979677666e-10,9.952307403432273e-11
-4.267158368796652e-05,-4.2957109967487644e-10,9.986650942859176e-11
-4.2571559453429495e-05,-4.3114425620037044e-10,1.0033451581194208e-10
-4.247153521889247e-05,-4.309496414032236e-10,1.0002937071899048e-10
-4.2371510984355446e-05,-4.2910517816340066e-10,9.944991880923759e-11
-4.227148674981842e-05,-4.2997917099560283e-10,1.0048736018780701e-10
-4.217146251528139e-05,-4.313524675922089e-10,9.918311890295757e-11
-4.207143828074436e-05,-4.3125940930077867e-10,1.0052556756516089e-10
-4.197141404620734e-05,-4.312634158426503e-10,1.0084529613981829e-10
-4.1871389811670315e-05,-4.3235077198153466e-10,9.98585295586675e-11
-4.177136557713329e-05,-4.3247647548582675e-10,9.939634184750513e-11
-4.1671341342596266e-05,-4.313071945134822e-10,1.0062321419906704e-10
-4.157131710805924e-05,-4.3093472267462685e-10,9.949521938713807e-11
-4.147129287352221e-05,-4.3061208389228957e-10,9.836694287951472e-11
-4.137126863898518e-05,-4.299476861484303e-10,9.870630036886392e-11
-4.1271244404448155e-05,-4.3126802174111786e-10,9.9306541141418e-11
-4.1171220169911134e-05,-4.3049498240275e-10,9.856725691565838e-11
-4.1071195935374107e-05,-4.294452058864401e-10,9.795716218286254e-11
-4.0971171700837086e-05,-4.2956001949758776e-10,9.893851272199807e-11
-4.087114746630006e-05,-4.290229961892688e-10,9.769979521725166e-11
-4.077112323176303e-05,-4.274110510475278e-10,9.794629301927233e-11
-4.0671098997226e-05,-4.286517949355539e-10,9.776655227724177e-11
-4.0571074762688975e-05,-4.269709097593778e-10,9.706178047189677e-11
-4.0471050528151954e-05,-4.25833933970149e-10,9.637437592825757e-11
-4.0371026293614926e-05,-4.2635529566184126e-10,9.622030438395982e-11
-4.02710020590779e-05,-4.2663258381292007e-10,9.757712479880277e-11
-4.017097782454088e-05,-4.255598293160541e-10,9.766724769409672e-11
-4.007095359000385e-05,-4.26365904387942e-10,9.680743608206032e-11
-3.997092935546682e-05,-4.2559147881870394e-10,9.643216766367464e-11
-3.9870905120929794e-05,-4.245470662564992e-10,9.533855900689288e-11
-3.9770880886392774e-05,-4.252436281918643e-10,9.569545856911e-11
-3.9670856651855746e-05,-4.2565918000919103e-10,9.625372728590825e-11
-3.957083241731872e-05,-4.247411599906552e-10,9.591346190386608e-11
-3.94708081827817e-05,-4.2501079397914863e-10,9.536587329561446e-11
-3.937078394824467e-05,-4.2489732202317196e-10,9.540172263805868e-11
-3.927075971370764e-05,-4.2432950329890104e-10,9.484545313181721e-11
-3.9170735479170614e-05,-4.2219780387936336e-10,9.505945316459715e-11
-3.907071124463359e-05,-4.230299181508886e-10,9.525812071947778e-11
-3.8970687010096566e-05,-4.2178937006718897e-10,9.458977119761292e-11
-3.887066277555954e-05,-4.2212483963757096e-10,9.532302261885558e-11
-3.877063854102252e-05,-4.2220801816545444e-10,9.431203099368838e-11
-3.867061430648549e-05,-4.2114643137815663e-10,9.41231512373519e-11
-3.857059007194846e-05,-4.2140702780930727e-10,9.495277373351114e-11
-3.8470565837411434e-05,-4.2070957622263225e-10,9.495463877765945e-11
-3.8370541602874406e-05,-4.2040091553015123e-10,9.341293520255486e-11
-3.8270517368337385e-05,-4.196211565343241e-10,9.289158045949053e-11
-3.817049313380036e-05,-4.210807455593506e-10,9.341357785798648e-11
-3.8070468899263337e-05,-4.2096876952562887e-10,9.543623178627405e-11
-3.797044466472631e-05,-4.2062511620640847e-10,9.384987500080189e-11
-3.787042043018928e-05,-4.1869488621663376e-10,9.356218821366895e-11
-3.7770396195652253e-05,-4.2066616494902007e-10,9.450323886862664e-11
-3.7670371961115226e-05,-4.1884033706380375e-10,9.364257227746217e-11
-3.7570347726578205e-05,-4.1896473166209107e-10,9.386469807981539e-11
-3.747032349204118e-05,-4.1828955798151843e-10,9.288775039180719e-11
-3.737029925750415e-05,-4.1811826412936265e-10,9.14520512478631e-11
-3.727027502296713e-05,-4.170459478197223e-10,9.129930838950047e-11
-3.71702507884301e-05,-4.174044744679328e-10,9.221404778186354e-11
-3.707022655389307e-05,-4.1759910666928215e-10,9.171983780339004e-11
-3.6970202319356045e-05,-4.173604901773441e-10,9.106124881299446e-11
-3.6870178084819024e-05,-4.1701539513307654e-10,9.12599603813208e-11
-3.6770153850282e-05,-4.171475095272545e-10,8.981700216564077e-11
-3.667012961574497e-05,-4.1607892291364767e-10,8.988204489049729e-11
-3.657010538120795e-05,-4.1613535695440327e-10,8.918628368001189e-11
-3.647008114667092e-05,-4.160218973944022e-10,8.943406267340776e-11
-3.637005691213389e-05,-4.1512913577899477e-10,8.887178227412297e-11
-3.6270032677596865e-05,-4.1487476040921575e-10,8.802881338901094e-11
-3.6170008443059844e-05,-4.154099389365264e-10,8.676548319147955e-11
-3.6069984208522816e-05,-4.138972286879158e-10,8.800665643955677e-11
-3.596995997398579e-05,-4.1392610060583994e-10,8.791419230410873e-11
-3.586993573944877e-05,-4.1394932875953624e-10,8.777021018780012e-11
-3.576991150491174e-05,-4.1378425785261674e-10,8.669392039540514e-11
-3.566988727037471e-05,-4.133248282591386e-10,8.615423541665112e-11
-3.5569863035837685e-05,-4.1290776458845355e-10,8.698087735904931e-11
-3.546983880130066e-05,-4.125052798021171e-10,8.667854066899322e-11
-3.5369814566763636e-05,-4.1055535440447707e-10,8.563070940944881e-11
-3.526979033222661e-05,-4.114772973604178e-10,8.513664033633717e-11
-3.516976609768959e-05,-4.1187551771451034e-10,8.463167677749695e-11
-3.506974186315256e-05,-4.109881497620579e-10,8.46593594412874e-11
-3.496971762861553e-05,-4.112917182647178e-10,8.400045357923515e-11
-3.4869693394078504e-05,-4.1059023488978003e-10,8.444995299414475e-11
-3.4769669159541477e-05,-4.1023993047346683e-10,8.544077591202102e-11
-3.4669644925004456e-05,-4.098574468285284e-10,8.419871947246735e-11
-3.456962069046743e-05,-4.100191390468751e-10,8.445017345807876e-11
-3.44695964559304e-05,-4.089816111509108e-10,8.512581706820676e-11
-3.436957222139338e-05,-4.092371335650721e-10,8.558855305470175e-11
-3.426954798685635e-05,-4.08061760662939e-10,8.540124168298707e-11
-3.4169523752319324e-05,-4.0761545549797654e-10,8.539163357196878e-11
-3.4069499517782296e-05,-4.086536762822025e-10,8.59704604602053e-11
-3.396947528324527e-05,-4.0958258888343103e-10,8.560388903843395e-11
-3.386945104870825e-05,-4.089898867438988e-10,8.463959581914207e-11
-3.376942681417122e-05,-4.103796075735656e-10,8.51420997395575e-11
-3.36694025796342e-05,-4.072720848630311e-10,8.615994152105607e-11
-3.356937834509717e-05,-4.077723941006479e-10,8.458168662988466e-11
-3.3469354110560144e-05,-4.089265922739969e-10,8.489105901638535e-11
-3.3369329876023116e-05,-4.071699942943298e-10,8.469059399537463e-11
-3.326930564148609e-05,-4.0673225721867606e-10,8.460520527734055e-11
-3.316928140694907e-05,-4.072651679095865e-10,8.422540829696455e-11
-3.306925717241204e-05,-4.0710395210397586e-10,8.4676815153586e-11
-3.296923293787502e-05,-4.073130828876412e-10,8.499428915349807e-11
-3.286920870333799e-05,-4.055485459562905e-10,8.384050125745799e-11
-3.276918446880096e-05,-4.058649904879912e-10,8.39880889105952e-11
-3.2669160234263936e-05,-4.0671153965049e-10,8.335984364000067e-11
-3.256913599972691e-05,-4.062761792626073e-10,8.394935430221561e-11
-3.246911176518989e-05,-4.060281060303177e-10,8.42690945657652e-11
-3.236908753065286e-05,-4.059121868643789e-10,8.394631940482022e-11
-3.226906329611584e-05,-4.0414087540808333e-10,8.269115456728907e-11
-3.216903906157881e-05,-4.0478225882039413e-10,8.229093897537571e-11
-3.206901482704178e-05,-4.04413285250436e-10,8.346863008564078e-11
-3.1968990592504755e-05,-4.0448040868483887e-10,8.369289411715662e-11
-3.186896635796773e-05,-4.0478213722164745e-10,8.263914945246639e-11
-3.17689421234307e-05,-4.0551479826415953e-10,8.225519891760411e-11
-3.166891788889368e-05,-4.050180627141871e-10,8.269507850646084e-11
-3.156889365435666e-05,-4.0454508813912193e-10,8.226819815636552e-11
-3.146886941981963e-05,-4.037012543498848e-10,8.16371251263004e-11
-3.13688451852826e-05,-4.0285620730161e-10,8.122951680116566e-11
-3.1268820950745575e-05,-4.029700731742431e-10,8.165743898370809e-11
-3.116879671620855e-05,-4.030498904748599e-10,8.140927892773904e-11
-3.106877248167152e-05,-4.030127669637869e-10,7.95102061848774e-11
-3.09687482471345e-05,-4.0191903238851676e-10,8.05895479252449e-11
-3.086872401259747e-05,-4.025504575060942e-10,8.00292995688078e-11
-3.076869977806045e-05,-4.033257736153631e-10,8.041399296883973e-11
-3.066867554352342e-05,-4.015339414568833e-10,7.95974136237666e-11
-3.0568651308986394e-05,-4.0137765419174333e-10,7.900982602641641e-11
-3.046862707444937e-05,-4.019448961553783e-10,7.973337683093386e-11
-3.0368602839912342e-05,-4.006713882569585e-10,7.895476162554308e-11
-3.0268578605375318e-05,-4.0123442666800457e-10,7.949677204215886e-11
-3.016855437083829e-05,-4.011226750768641e-10,7.992158773567829e-11
-3.0068530136301266e-05,-4.0218222469580556e-10,7.932566518643158e-11
-2.996850590176424e-05,-4.0209760016408704e-10,7.947429914075531e-11
-2.9868481667227214e-05,-4.0097937008624147e-10,8.082530555132812e-11
-2.976845743269019e-05,-4.001708416050047e-10,8.016272438274423e-11
-2.9668433198153162e-05,-4.0055344267624495e-10,7.971916228006702e-11
-2.9568408963616138e-05,-4.007098760151517e-10,8.05850399490406e-11
-2.946838472907911e-05,-3.9908919416481134e-10,7.957299011322615e-11
-2.9368360494542086e-05,-3.984402214373385e-10,8.00969541343493e-11
-2.9268336260005058e-05,-3.9823069948008973e-10,8.004061520880115e-11
-2.9168312025468034e-05,-3.995853039685466e-10,7.894982499387955e-11
-2.9068287790931006e-05,-3.988748403857245e-10,7.86007246551679e-11
-2.8968263556393982e-05,-3.985171071307103e-10,7.848525352362e-11
-2.8868239321856954e-05,-3.9841950216327526e-10,7.84203470545917e-11
-2.876821508731993e-05,-3.985027450325088e-10,7.840653345534594e-11
-2.8668190852782905e-05,-3.981292820996561e-10,7.864571496870547e-11
-2.8568166618245878e-05,-3.9816907845699106e-10,8.005735779489418e-11
-2.8468142383708853e-05,-3.980772536004684e-10,7.817725198097514e-11
-2.8368118149171826e-05,-3.96909273033472e-10,8.0042979075416e-11
-2.82680939146348e-05,-3.972563541124278e-10,7.758172284972277e-11
-2.8168069680097774e-05,-3.959726159785537e-10,7.902624870509408e-11
-2.806804544556075e-05,-3.962042717168007e-10,7.870406053585325e-11
-2.796802121102372e-05,-3.959880198008555e-10,7.933540469371243e-11
-2.7867996976486697e-05,-3.9647439450046926e-10,7.832536790151991e-11
-2.7767972741949673e-05,-3.96645483007197e-10,7.843432639232831e-11
-2.7667948507412645e-05,-3.948026037599941e-10,7.771934916287726e-11
-2.756792427287562e-05,-3.9497956967740614e-10,7.816974755422094e-11
-2.7467900038338593e-05,-3.945134290683812e-10,7.724835210938237e-11
-2.736787580380157e-05,-3.9492219236215533e-10,7.749332925762132e-11
-2.726785156926454e-05,-3.9454438316058876e-10,7.714371717149885e-11
-2.7167827334727517e-05,-3.9652678286818043e-10,7.859126011759545e-11
-2.706780310019049e-05,-3.935749166441508e-10,7.738914645638008e-11
-2.6967778865653465e-05,-3.933309617114032e-10,7.851004374065342e-11
-2.6867754631116437e-05,-3.9328233329815423e-10,7.781250351003253e-11
-2.6767730396579413e-05,-3.933745593158947e-10,7.809536464927941e-11
-2.666770616204239e-05,-3.9237312263037945e-10,7.792040082556394e-11
-2.656768192750536e-05,-3.9197695618845904e-10,7.847437168284143e-11
-2.6467657692968337e-05,-3.9156442773163494e-10,7.841975898193511e-11
-2.636763345843131e-05,-3.9213048150049693e-10,7.798296263915446e-11
-2.6267609223894285e-05,-3.9065975809594737e-10,7.745370768296467e-11
-2.6167584989357257e-05,-3.898730926157151e-10,7.792734675371568e-11
-2.6067560754820233e-05,-3.9145650920140915e-10,7.75598268977566e-11
-2.5967536520283205e-05,-3.897580296324287e-10,7.570977561801858e-11
-2.586751228574618e-05,-3.8948848617028266e-10,7.698106904214888e-11
-2.5767488051209156e-05,-3.886480049606362e-10,7.715688528608515e-11
-2.566746381667213e-05,-3.893198921998387e-10,7.729852617311141e-11
-2.5567439582135104e-05,-3.890961403309704e-10,7.70480353795084e-11
-2.5467415347598077e-05,-3.881230097421495e-10,7.711184221209367e-11
-2.5367391113061052e-05,-3.876319190468805e-10,7.66596405123226e-11
-2.5267366878524025e-05,-3.8652395895601327e-10,7.739310349202184e-11
-2.5167342643987e-05,-3.8708496763673556e-10,7.605229004923658e-11
-2.5067318409449973e-05,-3.872461770247789e-10,7.643073445711992e-11
-2.4967294174912948e-05,-3.864042355290899e-10,7.706570746017781e-11
-2.486726994037592e-05,-3.8778114712415867e-10,7.641093760746518e-11
-2.4767245705838896e-05,-3.8755730694339984e-10,7.596016379199442e-11
-2.4667221471301872e-05,-3.86026133514986e-10,7.602493447604489e-11
